gis_cleared_amount,gis_requests_qty,gis_requests_amount,gis_cleared_qty,gis_item_desc,gis_item_code,total_cleared_item,total_requests_item,value,unit_price,quantity,uom,branch,item_desc,item_id,element_desc,element_id,item_seq,total_cleared,total_requests,date_field,status,item_type,project_name,project_id,source_file,gis_qty,gis_item_name,gis_value,gis_unit_price,request_qty,request_amount,cleared_qty,cleared_amount,total_requests_num,total_cleared_num,total_requests_item_num,total_cleared_item_num,quantity_num,unit_price_num,value_num,gis_qty_num,gis_unit_price_num,gis_value_num,request_qty_num,request_amount_num,cleared_qty_num,cleared_amount_num,_alloc,_used
"2,100",1,"2,200",1,حديد ابو 8ملم,1101103,"262,698","231,939",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,187699,"262,698","453,237",21/03/2024,مقفل نهائي,VIP,,208060014863,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,453237.0,262698.0,231939.0,262698.0,1.0,0.0,0.0,,,,,,,,,
"33,000",10,"33,000",10,اسمنت,1101114,"262,698","231,939",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,187699,"262,698","453,237",21/03/2024,مقفل نهائي,VIP,,208060014863,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,453237.0,262698.0,231939.0,262698.0,1.0,0.0,0.0,,,,,,,,,
,,"2,250",1,حديد ابو 8ملم,1101103,,"221,298",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,191449,,,,,,,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,221298.0,,1.0,0.0,0.0,,,,,,,,,
"4,400",2,"4,400",2,حديد ابو 8ملم,1101103,"380,435","448,020","414,178",207089,2,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,185827,"380,435","448,020",07/05/2024,جاري الاقفال,تراسل هاتف ثابت,دكت ومد كابل الياف ربط بين الحي التجاري وسنترال غليل _الحديدة,208060014885,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,448020.0,380435.0,448020.0,380435.0,2.0,207089.0,414178.0,,,,,,,,,
"2,100",1,"2,200",1,حديد ابو 8ملم,1101103,"119,650","154,000","207,089",207089,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,171527,"182,841","192,191",31/03/2024,مقفل نهائي,جهات حكومية,,208060014908,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,192191.0,182841.0,154000.0,119650.0,1.0,207089.0,207089.0,,,,,,,,,
,,"25,000",1,مصنعية بناء ولياسة وحدادة وصب السق,12ERP015,"119,650","154,000","207,089",207089,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,171527,"182,841","192,191",31/03/2024,مقفل نهائي,جهات حكومية,,208060014908,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,192191.0,182841.0,154000.0,119650.0,1.0,207089.0,207089.0,,,,,,,,,
"63,191",1,"38,191",1,مصنعية بناء ولياسة وحدادة وصب السق,12ERP015,"63,191","38,191",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,203236,,,,,,الحديدة,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,38191.0,63191.0,1.0,0.0,0.0,,,,,,,,,
"2,150",1,"2,200",1,حديد ابو 8ملم,1101103,"203,829","177,100","207,089",207089,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,171363,"208,779","210,241",31/03/2024,مقفل نهائي,جهات حكومية,,208060014910,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,210241.0,208779.0,177100.0,203829.0,1.0,207089.0,207089.0,,,,,,,,,
"3,300",1,"3,300",1,اسمنت,1101114,"4,950","33,141",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,195364,,,,,,,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,33141.0,4950.0,1.0,0.0,0.0,,,,,,,,,
"31,320",58,"33,640",58,بلك,1101139,"31,320","33,640",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,224788,"31,320","33,640",30/06/2024,مقفل نهائي,جهات حكومية,,208060014992,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,33640.0,31320.0,33640.0,31320.0,1.0,0.0,0.0,,,,,,,,,
